"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Burundi","BDI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5889202771.34675","6183476602.12475","6245929614.75962","5856183606.84845","5631891774.89984","5185845946.29076","4770978270.51632","4695119716.1487","4918137902.2932","4868464709.66697","4826748585.33385","4925977225.89982","5145011759.82077","5082050812.40967","5327699755.95462","5375649053.9108","5665109338.39415","5936231951.16376","6235899991.30929","6452187532.08544","6696461063.94965","6977151645.62124","7257588873.80706","7591006441.60571","7944817041.22708","",
"Belgium","BEL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303117890781.309","308674266910.655","313399004425.682","310384503764.887","320400523116.923","328041297726.209","333267510811.82","345633566684.792","352461379723.527","365019719793.741","378283869184.638","381353506590.958","388143323294.47","391149633596.871","405367143692.598","413856429642.331","424200623960.865","438612721017.864","441889610709.076","431792967774.688","443429034940.297","451396735849.573","452079517044.138","452154358211.117","458251031039.019","",
"Benin","BEN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7281933690.29482","7589653601.86425","7814133607.97948","8270179892.73674","8437270644.12648","8947320414.76804","9334227962.98438","9869516848.74397","10260449609.1849","10808506330.4841","11441883947.698","12051783371.8559","12611524838.1216","13045871409.6567","13623755116.011","13856936260.6803","14403871439.8246","15266161439.334","16013194854.7505","16384577181.2719","16731414124.1439","17227124154.8024","18026983504.5949","19267058974.1864","20527411065.0534","",
"Burkina Faso","BFA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7235850446.17287","7892140957.24998","7910506818.65255","8184319909.96664","8291944311.95797","8765942849.65581","9731489002.26689","10346211079.7932","11102283178.1579","11924316094.0169","12141367490.9855","12944324634.6208","13507791645.5327","14561728970.2515","15213872266.9067","16531676827.4531","17565428799.3053","18558754696.9543","19912522715.0002","20502334499.5241","22234028341.5079","23684080409.0061","25212337086.177","26132412185.373","27176675062.5116","",
"Bangladesh","BGD","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136763926786.141","141530461203.864","149233519165.676","156264748534.802","162343644834.979","170657714035.36","178376424579.822","186385341419.141","196034560632.586","205189681149.996","216050975705.134","227020505484.482","235722482829.044","246894708777.71","259830838298.284","276813238827.961","295281853462.91","316124725281.398","335135801636.774","352043821059.316","371659006686.465","395684471605.039","421488777535.966","446835410086.698","473918520089.175","",
"Bulgaria","BGR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80941246930.52","74105471109.0925","68716233819.1281","67699085967.4639","68929862836.2022","70901387511.828","72035809712.0173","71243415805.1852","73736935358.3667","69600293284.7623","73087928739.7781","76192722493.5594","80778093588.8692","84879619279.4228","90443959232.5071","96988658676.2838","103538432629.839","111485370427.439","117780955347.775","112810920500.839","112872467863.785","114655852845.936","114931026973.542","116402144033.621","118206643535.4","",
"Bahrain","BHR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17555617943.5839","19527113624.472","20833477206.9944","23514747113.0563","23455959896.1871","24377777136.981","25379705268.0415","26164699497.8553","27417989333.4196","28596962589.713","30112600118.232","30862715094.5753","31978139384.1316","33904486894.0188","36271341149.2483","38726526363.2246","41231577927.8748","44650683364.4732","47439175845.8899","48644022973.7791","50752452953.3743","51818347905.0905","53677955325.1618","56583509896.8186","59118980281.8417","",
"Bahamas, The","BHS","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6224050195.34163","5963773820.39252","5735624719.19738","5753279370.04309","5934445315.65027","6194299922.91826","6455918080.58969","6589054572.66598","6899825606.88833","7392758113.34085","7699501863.20183","7901662072.30342","8115372756.69145","8012734015.64502","8083477180.86788","8357934889.03373","8568292730.11128","8692234987.92506","8490232901.36651","8135743673.15397","8260934776.35865","8311566260.03648","8495859697.43871","8497731352.02974","8584644967.5209","",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5750898819.25814","6947085805.28793","13127051109.4221","17641388142.2795","20393444050.9576","22351214638.0605","23580531540.5674","24618074812.0208","25922832842.8474","26959746173.5027","28604290628.3912","31109520298.677","32782738575.2966","34660782010.8962","36560715534.9565","35511466462.3862","35783929625.3608","36108936441.1018","35771972321.6779","36628421983.8725","37024696065.4651","",
"Belarus","BLR","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82363834285.7187","81375468274.2908","73563423319.9586","67972603147.6417","60019808579.3676","53777748487.1134","55283525444.7526","61585847345.4544","66759058522.4725","69028866512.2366","73032540769.9463","76483551805.4747","80342351448.0742","86001018060.3157","95847913542.83","104857617415.856","115343379157.442","125262909765.141","138039726561.309","138315806014.492","149022529944.618","157283909016.623","160007108813.136","161724946415.46","164292817733.271","",
