Country Name,"GDP (2000, billions of $)","GDP (2001, billions of $)","GDP (2002, billions of $)","GDP (2003, billions of $)","GDP (2004, billions of $)","GDP (2005, billions of $)","GDP (2006, billions of $)","GDP (2007, billions of $)","GDP (2008, billions of $)","GDP (2009, billions of $)","GDP (2010, billions of $)","GDP (2011, billions of $)","GDP (2012, billions of $)","GDP (2013, billions of $)","GDP (2014, billions of $)","GDP (2015, billions of $)"
Aruba,,,,,,,,,,,,3.6712322223658105,,,,
Andorra,,,,,,,,,,,,,,,,
Afghanistan,,,23.3786280089566,25.3527575182174,25.6203700174831,28.4835156038497,30.0655292602352,34.1965946118752,35.4315596209183,42.8795033106483,46.4956563819102,49.338254430557,56.4601038135996,57.5662266363086,58.3218011533835,
Angola,,,,,,,,,,,,152.477494308397,,,,
Albania,15.9551254694556,17.2220153103959,17.9507426739174,18.987127109383703,20.071207874841,21.219445539666403,22.371876329005502,23.6918170324168,25.475810854957803,26.3292505185989,27.3060657128389,28.0023703885163,28.4000040480332,28.7152440929664,29.338364889783797,
Arab World,3196.9133793910896,3277.32667379783,3324.0369919330096,3437.07906892398,3766.08544299588,3993.01170211276,4271.0754524862,4509.36548502608,4794.41569281574,4888.85713263699,5115.852955803281,5259.59598061393,5599.87756920791,5759.6050025561,5874.66817899154,
United Arab Emirates,326.99342745977503,331.56834354531395,339.636915994235,369.526801416005,404.877348750762,424.53471570041796,466.297553229818,481.146286697324,496.503688390757,470.472387748485,478.16672396876504,503.06868541163203,537.74820629178,560.986243550705,586.624940177145,
Argentina,,,,,,,,,,,,,,,,
Armenia,8.97776945999019,9.835742701577031,11.1327132937678,12.695834751513901,14.024814656616801,15.969454960225,18.0771041872779,20.5625617502571,21.9813785113708,18.8710159490773,19.2861782997958,20.1926286796198,21.6464979452151,22.3608323774072,23.1434615106165,
American Samoa,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.5000598536245,1.4521443133615999,1.4946086642130803,1.5829943118563399,1.6666780421096001,1.7680658746378102,2.00456944156413,2.19498237988446,2.1965432542551997,1.93216697742596,1.7941524576523897,1.76197548869485,1.8327988306538001,1.8264525634642899,1.91452378875601,
Australia,675.03795885229,688.062052105557,714.5984498999209,736.542329963106,767.1042284417609,791.702517121056,815.3179762524109,845.9548363067571,877.3118400455121,893.2760928786321,911.304031483534,932.989069866557,966.8819532342192,990.4743472653621,1015.23473234337,
Austria,309.43011738788897,313.609020879341,318.80193135207105,321.212573120354,329.90376011376003,336.965952489904,348.257113290483,360.86928094884996,366.45288084014504,352.531060880045,359.330232465755,369.420225149471,372.21789751052205,373.413650565206,374.733559775255,
Azerbaijan,35.8886947076342,39.441675483689906,43.6224927700479,48.508212063742995,53.4560498874524,67.56844748979461,90.8795615428867,113.64398248043199,125.886190467364,137.73290398890697,144.418926509107,144.51413146276002,147.69344262725699,156.254756508811,159.379851638987,
Burundi,4.82674858533385,4.92597722589982,5.14501175982077,5.08205081240967,5.327699755954621,5.3756490539108,5.66510933839415,5.9362319511637605,6.23589999130929,6.45218753208544,6.69646106394965,6.977151645621239,7.257588873807059,7.5910064416057095,7.944817041227079,
Belgium,378.2838691846379,381.3535065909579,388.14332329446995,391.149633596871,405.36714369259795,413.85642964233097,424.200623960865,438.61272101786403,441.889610709076,431.792967774688,443.4290349402971,451.396735849573,452.07951704413796,452.154358211117,458.251031039019,
Benin,11.441883947698,12.0517833718559,12.6115248381216,13.0458714096567,13.623755116011,13.8569362606803,14.4038714398246,15.266161439333999,16.0131948547505,16.3845771812719,16.7314141241439,17.2271241548024,18.0269835045949,19.2670589741864,20.5274110650534,
Burkina Faso,12.1413674909855,12.9443246346208,13.5077916455327,14.5617289702515,15.2138722669067,16.5316768274531,17.5654287993053,18.5587546969543,19.912522715000197,20.5023344995241,22.2340283415079,23.6840804090061,25.212337086177,26.132412185372996,27.1766750625116,
Bangladesh,216.05097570513396,227.020505484482,235.72248282904397,246.89470877770998,259.830838298284,276.813238827961,295.28185346290996,316.124725281398,335.135801636774,352.04382105931603,371.65900668646503,395.684471605039,421.488777535966,446.835410086698,473.918520089175,
Bulgaria,73.0879287397781,76.1927224935594,80.7780935888692,84.87961927942281,90.4439592325071,96.9886586762838,103.53843262983901,111.48537042743901,117.78095534777499,112.810920500839,112.872467863785,114.655852845936,114.93102697354199,116.402144033621,118.20664353539999,
Bahrain,30.112600118232002,30.862715094575297,31.978139384131598,33.904486894018795,36.2713411492483,38.7265263632246,41.2315779278748,44.650683364473196,47.4391758458899,48.6440229737791,50.752452953374295,51.8183479050905,53.6779553251618,56.583509896818605,59.1189802818417,
"Bahamas, The",7.69950186320183,7.90166207230342,8.11537275669145,8.012734015645021,8.08347718086788,8.35793488903373,8.56829273011128,8.69223498792506,8.49023290136651,8.135743673153971,8.260934776358651,8.31156626003648,8.495859697438709,8.49773135202974,8.5846449675209,
Bosnia and Herzegovina,23.580531540567403,24.6180748120208,25.922832842847402,26.9597461735027,28.6042906283912,31.109520298677,32.7827385752966,34.6607820108962,36.5607155349565,35.5114664623862,35.7839296253608,36.1089364411018,35.7719723216779,36.6284219838725,37.0246960654651,
Belarus,73.03254076994631,76.4835518054747,80.3423514480742,86.0010180603157,95.84791354283,104.857617415856,115.34337915744199,125.26290976514099,138.03972656130898,138.315806014492,149.02252994461801,157.28390901662303,160.007108813136,161.72494641545998,164.292817733271,
